"id","text"
"1","Do domu Hospodinova s radostí půjdeme"
"2","V jeho dnech rozkvete spravedlnost a hojnost pokoje na věky"
"3","Pane, přijď a zachraň nás"
"4","Ať vejde Hospodin, on je král slávy"
"5","Na věky budu zpívat o tvém milosrdenství, Hospodine"
"6","Na věky chci zpívat o Hospodinových milostech"
"7","Dnes se nám narodil Spasitel, Kristus Pán"
"8","Světlo dnes zazáří nad námi, neboť se nám narodil Kristus Pán"
"9","Všechny končiny země viděly spásu našeho Boha"
"10","Uzřely všechny končiny země spásu našeho Boha"
"11","Blaze každému, kdo se bojí Hospodina"
"12","Bože, buď milostiv a žehnej nám"
"13","Slovo se stalo tělem a přebývalo mezi námi"
"14","Budou se ti, Hospodine, klanět všechny národy"
"15","Pán dá požehnání a pokoj svému lidu"
"16","Smiluj se, Pane, neboť jsme zhřešili"
"17","Ať spočine na nás, Hospodine, tvé milosrdenství, jak doufáme v tebe"
"18","Kéž byste dnes uposlechli jeho hlasu! Nezatvrzujte svá srdce!"
"19","Hospodin je můj pastýř, nic postrádám"
"20","U Hospodina je slitování, hojné u něho je vykoupení"
"21","Bože můj, Bože můj, proč jsi me opustil?"
"22","Hospodin je mé světlo a má spása"
"23","Ústa má budou vyprávět o tvé spravedlnost"
"24","Vyslyš mě, Hospodine, ve své veliké lásce"
"25","Na věky chci zpívat o Hospodinových milostech"
"26","Kalich požehnání je společenstvím krve Kristovy"
"27","Otče do tvých rukou poroučím ducha svého"
"28","Sešli svého Ducha, Pane, a obnov tvář země"
"29","Země je plná Hospodinovy milosti"
"30","Ochraň mě, Bože, neboť se k tobě utíkám"
"31","Hospodinu chci zpívat, neboť je velmi vznešený"
"32","Chci tě oslavovat, Hospodine, neboť jsi mě vysvobodil"
"33","Budete vážit vodu s radostí z pramenů spásy"
"34","Pane, ty máš slova věčného života"
"35","Jako laň prahne po vodních vystřinách"
"36","Stvoř mi čisté srdce, Bože"
"37","Aleluja, aleluja, aleluja"
"38","Toto je den, který připravil Pán, jásejme a radujme se z něho"
"39","Děkujte Hospodinu, neboť je dobrý, jeho milosrdenství trvá na věky"
"40","Ukaž mi, Pane, cestu k životu"
"41","Hospodin je můj pastýř, nic nepostrádám"
"42","Ať spočine na nás, Hospodine, tvé milosrdenství, jak doufáme v tebe"
"43","Jásejte Bohu, všechny země"
"44","Bůh se vznáší za jásotu, Hospodin vystupuje za hlaholu polnice"
"45","Věřím, že uvidím blaho od Hospodina v zemi živých"
"46","Sešli svého Ducha, Hospodine, a obnovíš tvář země"
"47","Sešli svého Ducha, Hospodine, a obnovíš tvář země"
"48","Požehnaný jsi, Pane, Bože našich otců"
"49","Jeruzaléme, oslavuj Hospodina"
"50","Hospodinova láska od věků pro ty, kdo se ho bojí"
"51","Hle, přicházím, Pane, splnit tvou vůli"
"52","Hospodin je mé světlo a má spása"
"53","Blahoslavení chudí v duchu, neboť jejich je království nebeské"
"54","Spravedlivý září v temnotách jako světlo"
"55","Blaze těm, kdo kráčejí v zákoně Hospodinově"
"56","Hospodin je milosrdný a milostivý"
"57","V Bohu jen odpočívej, duše má"
"58","Buď mi, Hospodine, ochrannou skálou"
"59","Kdo žije správně, tomu ukážu Boží spásu"
"60","Jsme jeho lid a stádce, které on pase"
"61","Vyslyš mě, Hospodine, ve své veliké lásce"
"62","Na věky chci zpívat o Hospodinových milostech"
"63","Budu velebit tvé jméno na věky, můj Bože, Králi"
"64","Semeno padlo na dobrou půdu a přineslo užitek"
"65","Tys, Pane, dobrý a shovívavý"
"66","Jak miluji tvůj zákon, Hospodine"
"67","Otvíráš svou ruku a sytíš nás, Hospodine"
"68","Pane, ukaž nám své milosrdenství"
"69","Ať tě, Bože, velebí národy, ať tě velebí kdekterý národ"
"70","Hospodine, tvá dobrota trvá na věky, dílo svých rukou neopouštěj"
"71","Má duše po tobě žizní, Hospodine, Bože můj"
"72","Kéž byste dnes uposlechli jeho hlasu! Nezatvrzujte svá srdce!"
"73","Hospodin je milosrdný a milostivý"
"74","Blízký je Hospodin všem, kdo ho hledají"
"75","Rozpomeň se, Hospodine, na své slitování"
"76","Dům Izraelův je vinicí Páně"
"77","Smím přebývat v Hospodinově domě na dlouhé, předlouhé časy"
"78","Vzdejte Hospodinu moc a slávu"
"79","Miluji tě, Hospodine, má sílo"
"80","Opatruj, Pane, mou duši ve svém pokoji"
"81","Má duše po tobě žízní, Hospodine, můj Bože"
"82","Blaze každému, kdo se bojí Hospodina"
"83","Hospodin je můj pastýř, nic nepostrádám"
"84","Bože obnov nás, rozjasni svou tvář a budeme spaseni"
"85","Ukaž nám, Hospodine, své milosrdenství a dej nám svou spásu"
"86","Duch můj plesá v Bohu mém"
"87","Na věky chci zpívat o Hospodinových milostech"
"88","Všechno tvé jednání, Hospodine, je láska a věrnost pro ty, kdo plní tvou smlouvu"
"89","Budu kráčet před Hospodinem v zemi živých"
"90","Pane, ty máš slova věčného života"
"91","Vyslyš nás, Pane, a vysvoboď nás"
"92","Stvoř mi čisté srdce, Bože"
"93","Děkujte Hospodinu, neboť je dobrý, jeho milosrdenství trvá na věky"
"94","Hospodine, ukaž nám svou jasnou tvář"
"95","Kámen, který stavitelé zavrhli, stak se kvádrem nárožním"
"96","Budu tě chválit, Hospodine, ve velkém shromáždění"
"97","Hospodin zjevil svou spásu před zraky pohanů"
"98","Bůh se vznáší za jásotu, Hospodin vystupuje za hlaholu polnice"
"99","Hospodin si zřídil na nebi trůn"
"100","Sešli svého Ducha, Hospodine, a obnovíš tvář země"
"101","Sešli svého Ducha, Hospodine, a obnovíš tvář země"
"102","Blaze lidu, který si Hospodin vyvolil za svůj majetek"
"103","Vezmu kalich spásy a budu vzývat jméno Hospodinovo"
"104","Budete vážit vodu s radostí z pramenů spásy"
"105","Hle, přicházím, Pane, splnit tvou vůli"
"106","Ukaž mi své cesty, Hospodine"
"107","Kéž byste dnes uposlechli jeho hlasu! Nezatvrzujte svá srdce!"
"108","Chvalte Hospodina, který uzdravuje ty, jimž puká srdce"
"109","Tys mé útočiště, zahrneš mě radostí ze záchrany"
"110","Uzdrav mě, Pane, zhřešil jsem proti tobě"
"111","Hospodin je milosrdný a milostivý"
"112","Plesejte Bohu, který nám pomáhá"
"113","U Hospodina je slitování, hojné u něho je vykoupení"
"114","Dobré je chválit Hospodina"
"115","Oslavujte Hospodina, neboť na věky trvá jeho milosrdenství"
"116","Chci tě oslavovat, Hospodine, neboť jsi mě vysvobodil"
"117","Naše oči hledí na Hospodina, dokud se nad námi nesmiluje"
"118","Ukaž nám, Hosodine, své milosrdenství a dej nám svou spásu"
"119","Hospodin je můj pastýř, nic nepostrádám"
"120","Otvíráš svou ruku a sytíš nás, Hospodine"
"121","Nebeský pokrm dal jim Hospodin"
"122","Okuste a vizte, jak je Hospodin dobrý"
"123","Okuste a vizte, jak je Hospodin dobrý"
"124","Okuste a vizte, jak je Hospodin dobrý"
"125","Hospodine, kdo smí prodlévat ve tvém stánku"
"126","Duše má, chval Hospodina"
"127","Budu kráčet před Hospodinem v zemi živých"
"128","Pán mě udržuje naživu"
"129","Hospodinovy předpisy jsou správné, působí radost v srdci"
"130","Ať nám Hospodin žehná po všechny dny našeho života"
"131","Nasyť nás, Pane, svou slitovností, abychom se radovali"
"132","Ať spočine na nás, Hospodine, tvé milosrdenství, jak doufáme v tebe"
"133","Velkou věc s námi učinil Hospodin, naplnila nás radost"
"134","Miluji tě, Hospodine, má sílo"
"135","Duše má, chval Hospodina"
"136","Ochraň mě, Bože, neboť se k tobě utíkám"
"137","Hospodin kraluje, oděl se velebností"
"138","K tobě pozvedám svou duši, Hospodine"
"139","Velkou věc s námi učinil Hospodin, naplnila nás radost"
"140","Plesejte a jásejte, nebo nad námi vládne Svatý Izraele"
"141","Bože, obnov nás, rozjasni svou tvář a budeme spaseni"
"142","Buď se mnou, Pane, v mé tísni"
"143","Hospodin je mé světlo a má spása"
"144","Hospodin je milosrdný a milostivý"
"145","Okuste a vizte, jak je Hospodin dobrý"
"146","Velkou věc s námi učinil Hospodin, naplnila nás radost"
"147","Děkujte Hospodinu, neboť je dobrý, jeho milosrdenství trvá na věky"
"148","Chci tě oslavovat, Hospodine, neboť jsi mě vysvobodil"
"149","Jsme jeho lid a stádce, které on pase"
"150","Budu tě oslavovat na věky, můj Bože, Králi"
"151","Ať tě, Bože, velebí národy, ať tě velebí kdekterý národ"
"152","Bůh se vznáší za jásotu, Hospodin vystupuje za hlaholu polnice"
"153","Hospodin kraluje, je povznesen nad celou zemí"
"154","Sešli svého Ducha, Hospodine, a obnovíš tvář země"
"155","Sešli svého Ducha, Hospodine, a obnovíš tvář země"
"156","Hospodine, Pane náš, jak podivuhodné je tvé jméno po celé zemi"
"157","Ty jsi kněz na věky podle Melchizedechova řádu"
"158","Hospodin je můj pastýř, nic nepostrádám"
"159","Vypravujte mezi všemi národy o Hospodinových divech"
"160","Tvá slova, Pane, jsou duch a jsou život"
"161","Ústa má budou vypávět o tvé spravedlnosti"
"162","Budu ti hrát, Hospodine, před anděly"
"163","Blaze tomu, kdo svou naději vložil do Hospodina"
"164","Hospodin je milosrdný a milostivý"
"165","Dobré je chválit Hospodina"
"166","Jděte do celého světa a hlásejte evangelium"
"167","Chci tě oslavovat, Hospodine, neboť jsi mě vysvobodil"
"168","Odpusť, Pane, co jsem zavinil hříchem"
"169","Má duše žízní po tobě, Pane, Bože můj"
"170","Ty jsi, Hospodine, mým dědičným podílem"
"171","Jásejte Bohu, všechny země"
"172","Hledjte, ubožáci, Hospodina a pookřejte v srdci"
"173","Hospodine, kdo smí prodlévat ve tvém stánku"
"174","Když jsem volal, Hospodine, vyslyšels mě"
"175","Kéž byste dnes uposlechli jeho hlasu! Nezatvrzujte svá srdce!"
"176","Blaze národu, který si Hospodin vyvolil za svůj majetek"
"177","Hospodine, na pomoc mi pospěš"
"178","Jděte do celého světa a hlásejte evangelium"
"179","Bože, ve své dobrotě ses postaral o chudáka"
"180","Pane, tys nám býval útočištěm od pokolení do pokolení"
"181","Vstanu a půjdu k svému Otci"
"182","Chvalte Hospodina, který povyšuje chudého"
"183","Duše má, chval Hospodina"
"184","Kéž byste dnes uposlechli jeho hlasu! Nezatvrzujte svá srdce!"
"185","Hospodin zjevil svou spásu před zraky pohanů"
"186","Pomoc nám přijde od Hospodina, který učinil nebe i zemi"
"187","Hle, ubožák zavolal a Hospodin slyšel"
"188","Budu velebit tvé jméno, můj Bože, Králi"
"189","Až procitnu, Hospodine, nasytím se pohledem na tebe"
"190","Přišel Hospodin, aby spravoval národy podle práva"
"191","Zaradoval jsem se, když mi řekli: ""Do domu Hospodinova půjdeme"""
"192","Veleb, duše má, Hospodina"
"193","Ty jsi, Hospodine, mým dědičným podílem"
"194","Blahoslavená jsi, Panno Maria, žes nosila Syna věčného Otce"
"195","Pán mě vysvobodil ze všech mých obav"
"196","Ústa spravedlivého mluví moudře"
"197","Má zalíbení v Hospodinově zákoně"
"198","Kdo sejí v slzách, žnout budou s jásotem"
"199","Jinoši a panny, chvalte Hospodinovo jméno"
"200","Nauč mě, Hospodine, svým příkazům"
"201","Hospodin zjevil svou spásu před zraky pohanů"
"202","Hospodin zástupů, on je král slávy"
"203","Do tvých rukou, Pane, svěřuji ducha svého"
"204","Okuste a vizte, jak je Hospodin dobrý"
"205","Hle, přicházím, Pane, přebývat ve tvé slávě"
"206","Spravedlivý bude, Pane, přebývat na tvé svaté hoře"
"207","Naše duše vyvázla jako pták z ptáčníkovy léčky"
"208","Blaze muži, který se bojí Hospodina"
"209","Ustvičně chci velebit Hospodina"
"210","Hospodinovy výroky jsou pravdivé, všechny jsou spravedlivé"
"211","Jeho potomstvo potrvá na věky"
"212","Na věky chci zpívat o Hospodinových milostech"
"213","Pane, dej zdar práci našich rukou"
"214","Všude na zemi pronikl jejich hlas"
"215","Buď veleben Hospodin nyní i na věky"
"216","Pán ho posadil vedle knížat svého lidu"
"217","Vyslyš mě, Bože, ve své veliké lásce"
"218","Na věky chci zpívat o Hospodinových milostech"
"219","Od klína mé matky byls mým ochráncem"
"220","Chválím tě, že jsem vznikl tak podivuhodně"
"221","Ustavičně chci velebit Hospodina"
"222","Pán Bůh mu dá trůn jeho otce Davida"
"223","Vypravujte mezi všemi národy o Hospodinových divech"
"224","Hospodin kraluje, je povznesen nad celou zemí"
"225","Blaze muži, který se slitovává a půjčuje"
"226","Drahocenná je v Hospodinových očích smrt jeho zbožných"
"227","Vstn, Hospodine, vejdi na místo svého odpočinku, ty i tvá vznešená archa"
"228","Po své pravici máš královnu ozdobenou ofirským zlatem"
"229","Ochraň, Pane, duši mou v pokoji u tebe"
"230","Ať tvoji zbožní, Hospodine, vypravují o slávě tvé vznešené říše"
"231","Radostí zajásám v Pánu"
"232","Nezapomínejte na Boží skutk"
"233","Zachraň mě svou slitovností, Hospodine"
"234","Blaze těm, kdo kráčejí v zákoně Hospodinově"
"235","Ty, Hospodine, vládneš nade vším"
"236","Budu ti hrát, Hospodine, před anděly"
"237","To je pokolení těch, kdo hledají tvář tvou, Hospodine"
"238","Proudy bystřin jsou k radosti Božímu městu"
"239","Hle, ženich přichází, jděte naproti Kristu Pánu"
"240","Slova tvá, Pane, jsou duch a jsou život"
"241","Zpívejte Hospodinu píseň novou, protože učinil podivuhodné věci"
"242","Radujte se, spravedliví v Hospodinu"
"243","Ty jsi čest našeho lidu"
"244","Svým andělům vydal o tobě příkaz, aby tě střežili"
"245","Pane, Bože můj, k tobě pozvedám svou duši"
"246","Pane, ukaž nám své milosrdenství a uděl nám svou spásu"
"247","Buď, Pane, při mně v mém soužení"
"248","Pán je milosrdný a záchranu poskytuje v hojné míře"
"249","Jásejte Bohu, všechny země! Aleluja"
"250","Pán je mé světlo a má spása"
"251","Chci dobrořečit Pánu v každé chvíli"
"252","Okuste a vizte, jak dobrý je Pán"
"253","Zaslechnte-li dnes jeho hlas, nezatvrzujte svá srdce"
"254","Jsme jeho lid, jsme ovce na jeho pastvě"
"255","Pán je dobrotivý a milosrdný"
"256","Bože, můj Králi, na věky chci dobrořečit tvému jménu"
"257","Radostně půjdeme do domu Pánova"
"258","Mé srdce jásá v Bohu, mém spasiteli"
"259","Pán je můj pastýř, nic mi neschází"
"260","Pane, Bože můj, k tobě pozvedám svou duši"
"261","Pán je mé světlo a má spása"
"262","Smím si vykračovat před Pánem v zemi živých"
"263","Věřím, že uvidím blaho od Hospodina v zemi živých"
"264","Budu kráčet před Hospodinem v zemi živých"
"265","Hospodin je milosrdný a milostivý"
"266","Země je plná Hospodinovy milosti"
"267","Hospodin je milosrdný a milostivý"
"268","Hospodinova láska od věků pro ty, kdo se ho bojí"
